,User,Item,Rating
0,ATQU5FLK95ZDZ,B00002R108,5
1,AYN3DEOX88S7I,B000035Y6D,5
2,A12F0GXX00TUO9,B000035Y6D,3
5,A1F1Y66CV2UMSC,B000035Y6D,4
9,A1JAICBAZ3YHF1,B000035Y6D,5
10,AMGVWVLJU4B99,B000035Y6D,4
12,APD2EUMNVM4EO,B000035Y6D,4
14,A1PD1SZE97IYN,B000035Y6D,5
15,A3AVJ9W2VK15YA,B00003OTI3,5
16,A21YQPYQ9EM91H,B00003OTI3,4
17,A20JEY9E8CPOTR,B00003OTI3,5
18,AZFIIW97MXGVR,B00003OTI3,3
19,AXX8X0O61EGPW,B00003OTI3,5
20,A2WTO0ST2SUUY9,B00003OTI3,2
21,A27D3F4MGHKN5V,B00004U4RF,5
23,A1LJ6MIXVEHPMH,B00004U62A,5
24,A23ZUK1J474V80,B00004Y57G,5
26,A18NQZS6ETRFKX,B00004Y57G,5
27,A2AETSBFFR5HS7,B00004Y57G,5
28,ARETNQQC8W3IU,B00004Y57G,5
29,AZYU8M791SIFC,B00004Y57G,5
30,A2MYU37X2I8L7I,B00004Y57G,5
32,A1BLEP8EBACXKC,B00004Y57G,5
34,A175K2MLFLJWWO,B00004Y57G,5
35,A36UVCB0F11P5X,B00004Y57G,4
37,A2UTM01M30GICT,B00004Y57G,5
38,A1O6VVFHHFV5VY,B00004Y57G,5
40,A3BORQ8W6SWVDF,B00004Y57G,5
41,A2KP4I6GXJN0P8,B00004Y57G,5
45,A2C6MKT9HL2GJH,B00004Y57G,5
46,A370Z6I5GBWU44,B00005BISH,4
47,A32Q36SLF97PGO,B00005BISH,5
49,A2ZP5FGTKIT9MM,B00005MA97,4
50,A35W73EQPW3HB3,B00005MA97,5
51,AU32ZJ0LGMBSA,B00005MA97,5
52,A35XZ9RSUKIJ02,B00005MA97,5
53,A22HSBTXF6WLT7,B00005MA97,4
54,A22PBDF7OQ99E4,B00005MA97,5
55,A289NRXIUI2KOL,B00005MA97,5
56,AYB7JFPEL3LSC,B00005MA97,5
57,A2ELYW8V8AMHBI,B00005MA97,5
58,A91570B9XDDI0,B00005MA97,1
59,A2C9TZCSWW0B3K,B00005MA97,5
60,A1PLB1ATIKNK17,B00005MA97,4
61,AKUDXZUFDO9ML,B00006IJJG,4
62,A3KMEUY129LFLH,B00006IJJG,5
63,A3OM1G92C2Z4EK,B000093NQG,5
64,A3OUSPVVF7FHWN,B00019AZBO,4
65,A2RF0YBZ43IWEF,B00019AZBO,4
66,A38JS86CCLBVOY,B00019AZBO,5
68,AOIMVO7OJKNW8,B00019AZBO,5
70,ADIOL01IILTJ7,B00019AZBO,5
71,A3EPCX4M6IKD85,B00019AZBO,5
72,A3J1HCPHRUVFJQ,B0002IBEFA,5
74,A27Z9FV4D0EYHT,B0002IBEFA,5
75,A3JZVYYPT537G0,B0006GBCZU,5
76,AC0EP89N3CVF2,B0006GBCZU,5
77,A2S17QZKM5GPBH,B0006GBCZU,4
78,A37DMYQVT0GZLD,B0006GBCZU,5
79,A2Q1GDU4W1CXA7,B0006GBCZU,1
80,A1Q2HOKUDHW4QG,B0006GBCZU,5
82,A6MD2X7CHCIM2,B0006GBCZU,5
83,A35BKVNMWXQJER,B0006GBCZU,5
84,AH56RWPKFHA8L,B0006GBCZU,5
86,A3SASR2U6F3INE,B0006GBCZU,5
89,A2HPX9RSN2STAL,B0006GBCZU,2
91,A1BB4W07LI1GIT,B0006GBCZU,5
92,A1VPSXPP285V75,B0006GBCZU,5
94,A1Q0Q7CZMLYRCE,B000E2D3LC,5
96,A3F10TTN54PLF9,B000E2D3LC,2
97,A36LT58X5GZV68,B000E2D3LC,5
98,A3AIPY438KNXUS,B000E2D3LC,4
99,A2RTEM8DEXTU00,B000E2D3LC,2
100,A386OP2O7Z5Y5L,B000E2D3LC,3
101,A1Q2QSS0W29DTM,B000E2D3LC,5
102,AXDREET869SAI,B000E2D3LC,5
105,A3EEYH6VD8BJ79,B000E2D3LC,5
106,A2AL0CNORVTLHS,B000E2D3LC,5
107,A20QMISU4S0XRC,B000FQBPDU,5
108,A394DOIBX2VTUO,B000FQBPDU,5
109,A36UKFV79879MD,B000FQBPDU,5
111,A1DDG2R80UWTPI,B000FQBPDU,5
112,A1H6IAYYAXTCE4,B000FQBPDU,5
113,A2HC18LRW8773H,B000FQBPDU,3
114,A387VRSI2OET79,B000HX1P72,4
116,A3F18SDKBDF2WR,B000HX1P72,3
118,A1ZXMMYRVPI1KC,B000HX1P72,4
120,A1TKDHV7V1QEI7,B000HX1P72,5
